"ALKBH5" "FTO" "IGF2BP1" "IGF2BP2" "IGF2BP3" "METTL14" "METTL3" "KIAA1429" "WTAP" "YTHDC1" "YTHDC2" "YTHDF1" "YTHDF2" "YTHDF3" "RBM15" "CancerType"
"Sample_23" 0.404469 -0.239481 0.1086 0.3468 0.088204 0.15335 -0.069738 0.05959 -0.194965 0.02807 -0.36524 0.51976 0.212559 0.558656 0.65599 "BRCA"
"Sample_24" 0.29453 0.375256 0.13058 0.06691 0.376435 0.12738 0.175695 -0.00774 0.287196 0.20546 0.26835 -0.03572 0.889868 0.176948 0.153114 "BRCA"
"Sample_25" 0.394662 0.406652 -0.10735 0.25442 0.100546 0.30529 0.694649 0.52722 0.796441 0.536 1.03355 0.53687 0.485466 0.693887 0.033102 "BRCA"
"Sample_26" 0.435324 -0.286917 -0.26626 -0.11524 0.13909 0.17582 0.39057 0.36401 0.141144 0.31173 0.73103 0.32296 -0.012636 0.313058 -0.399625 "BRCA"
"Sample_27" 0.833163 0.554905 0.09951 0.10667 0.106763 0.2536 0.395382 0.69087 -0.213463 0.48294 0.26735 0.05011 0.439017 0.480799 -0.039933 "BRCA"
"Sample_28" 0.125628 0.04249 0.43589 0.10272 0.155787 0.17984 0.297191 0.38006 -0.078082 0.35101 1.54369 -0.01955 0.274422 -0.004648 -0.11293 "BRCA"
"Sample_29" -0.153843 -0.407327 0.2488 0.22696 -0.120695 0.12734 0.544035 0.14271 0.138582 0.16629 0.2906 0.40044 0.455792 0.940551 0.27325 "BRCA"
"Sample_30" 0.18521 -0.278251 0.46522 0.01971 0.086509 0.1295 -0.130579 0.08248 -0.232815 0.37187 0.06702 -0.12643 -0.124391 0.455815 0.66633 "BRCA"
"Sample_31" -0.42743 -0.136107 0.06405 0.11596 0.196295 -0.01014 -0.226937 -0.31264 -0.662625 -0.13701 -0.26995 -0.1772 -0.421656 -0.104763 0.19278 "BRCA"
"Sample_32" 0.069543 0.012504 -0.11417 0.06161 0.370477 0.11898 -0.11874 -0.23718 -0.594817 0.03384 -0.04911 -0.55576 -0.225913 -0.145923 -0.19161 "BRCA"
"Sample_33" 0.00466 -0.031998 0.29217 0.06167 0.094254 0.20958 0.113903 0.45016 0.055158 1.97126 0.73739 0.57782 0.211173 0.290701 0.72318 "BRCA"
"Sample_34" -0.51337 -0.45788 0.3984 -0.02978 -0.004173 -0.12496 -0.151954 -0.40129 -0.667289 -0.56915 -0.21102 -0.47611 -0.552613 -0.704536 -1.1986 "BRCA"
"Sample_35" 0.230692 -0.161412 -0.12484 -0.1539 0.144714 -0.18649 0.181497 -0.21616 0.051732 -0.13163 -0.27352 -0.28828 -0.473251 -0.050805 -0.2941 "BRCA"
"Sample_36" 0.086372 0.758132 0.38102 -0.0936 0.09872 0.07075 0.105445 0.50199 -0.068697 0.55886 0.35361 0.26092 -0.262932 0.476375 -0.065687 "BRCA"
"Sample_37" 0.069543 -0.3126 0.33995 -0.03148 -0.067011 0.09586 0.254599 0.24593 0.044872 0.168 0.00218 0.26935 0.008579 0.265707 0.13271 "BRCA"
"Sample_38" 0.355564 0.606472 -0.19191 -0.06 0.018694 0.06353 -0.112507 0.20992 -0.28401 0.1796 0.70993 -0.29977 -0.404863 0.048432 -0.24153 "BRCA"
"Sample_39" 0.006806 -0.034595 -0.10278 -0.07117 0.109339 0.05091 -0.207973 -0.18962 0.465531 0.15796 0.09089 -0.24911 0.084763 0.45619 -0.59362 "BRCA"
"Sample_40" 0.36959 0.054284 -0.06961 -0.04207 0.163375 0.2957 0.257 0.53093 0.236835 0.60889 0.29455 0.40434 -0.206481 0.487524 1.6717 "BRCA"
"Sample_41" -0.86408 -0.474644 0.6092 0.173 0.229382 0.03616 -0.598325 -0.74282 -0.84951 -0.52725 -1.00219 -1.61503 -1.00575 -0.935113 -1.2876 "BRCA"
"Sample_42" -0.083187 -0.039121 -0.00641 0.00604 0.229132 0.30632 -0.345071 0.27791 -0.228713 0.45064 0.15691 -0.67047 0.375874 0.00902 0.14047 "BRCA"
"Sample_43" -0.139993 0.012002 0.31564 -0.25832 -0.166698 -0.10538 0.039194 -0.25197 -0.239591 -0.14175 -0.1998 -0.44515 -0.282859 -0.409167 -0.48783 "BRCA"
"Sample_44" -0.179406 -0.20133 0.4038 -0.03852 -0.17993 0.05321 -0.100217 -0.65376 -0.253415 -0.50235 0.28939 -0.28379 0.134945 -0.398759 -0.44572 "BRCA"
"Sample_45" 0.18038 0.258795 0.11208 -0.24422 0.000636 0.06304 0.090666 -0.19849 -0.191802 0.07815 -0.19692 0.04187 0.02207 0.736489 -0.21736 "BRCA"
"Sample_46" 0.199865 0.530661 -0.04164 0.24725 0.197416 0.16779 0.187867 0.34209 -0.156861 0.31864 0.30078 0.14006 0.283622 1.013717 0.47431 "BRCA"
"Sample_47" 0.254377 -0.007291 0.91335 -0.35308 -0.10525 -0.1938 0.119793 -0.29596 -0.039481 -0.51259 -0.31985 -0.66923 -0.32687 -0.777454 -0.59007 "BRCA"
"Sample_48" 0.229563 -0.298547 0.15847 -0.01319 0.121022 0.09853 0.105602 0.13849 -0.099724 0.43312 0.66521 0.76017 0.25454 0.197686 1.0164 "BRCA"
"Sample_49" 0.014291 0.567114 -0.33917 0.13419 0.156037 0.0383 0.1627 -0.18313 -0.196203 -0.33092 -0.46155 -0.76015 -0.204459 -0.159314 -0.50364 "BRCA"
"Sample_50" 0.560012 0.311346 -1.40539 -1.04447 0.572066 0.65674 0.440033 -0.69232 0.891296 -0.18472 1.31158 -1.07657 -0.690165 -2.011158 -2.7469 "BRCA"
"Sample_51" 0.256301 -0.280364 -0.36828 -0.13178 0.028775 0.0404 0.109679 -0.12254 0.302127 -0.62502 0.38458 -1.06645 0.167435 -0.954626 -0.95168 "BRCA"
"Sample_52" 0.181074 1.410182 -0.10981 0.00813 0.142657 0.21146 0.31839 0.51728 0.193682 0.60571 0.27558 0.65464 0.235081 0.119879 0.058981 "BRCA"
"Sample_53" -0.0385 0.130934 -0.21064 -0.23463 0.034066 -0.13199 -0.241843 0.40033 0.20105 0.1835 0.38226 0.25661 0.408249 -0.080756 0.20495 "BRCA"
"Sample_54" 0.681886 0.190097 -0.21756 -0.15553 0.074769 -0.00775 0.22602 0.20048 -0.064136 0.13303 1.37591 0.66726 0.377445 -0.32187 -0.135 "BRCA"
"Sample_55" 0.345489 -0.105676 -0.06818 -0.14085 0.130242 0.12661 0.096811 0.28428 -0.180577 0 0.27979 -0.21802 0.002028 0.023516 -0.52545 "BRCA"
"Sample_56" 0.341751 -0.1778 0.05185 -0.12391 -0.145443 -0.00671 0.368588 0.30678 0.217267 0.07585 1.14052 0.18895 0.283887 0.365871 -0.10732 "BRCA"
"Sample_57" 0.276433 -0.108552 0.47417 -0.25677 0.047844 -0.06182 -0.271646 0.09984 -0.372887 0.08162 0.12856 -0.18998 -0.155892 0.2338 0.25907 "BRCA"
"Sample_58" -0.035567 0.094607 -0.11869 -0.03327 0.093689 -0.08354 0.302248 -0.1543 -0.398349 -0.08332 0.55592 -0.40852 -0.193105 -0.221034 -0.75035 "BRCA"
"Sample_59" 0.494481 0.151723 0.25756 -0.04192 0.154675 0.10079 0.331316 0.35186 0.079878 0.28268 0.7758 -0.08695 0.13024 0.175605 0.97128 "BRCA"
"Sample_60" -0.014112 -0.318323 -0.04603 -0.01289 0.040302 0.08393 -0.313024 0.50301 0.063952 0.52463 0.20565 0.09739 0.647959 0.17841 0.31591 "BRCA"
"Sample_61" 0.307593 0.020939 0.00241 0.01144 0.258643 0.25971 0.208193 0.51471 -0.026408 0.46111 1.05067 -0.23308 0.283534 0.195563 0.23037 "BRCA"
"Sample_62" -0.192599 -0.211058 -0.04824 -0.17377 -0.081493 -0.15332 -0.098365 -0.13707 0.05833 -0.64099 -0.58729 -0.347 0.043435 -0.380973 -1.2398 "BRCA"
"Sample_63" -0.707326 -0.487104 0.4767 -0.28944 -0.036815 -0.16349 -0.106881 -0.23555 -0.602307 -0.22988 -0.48151 -0.4633 -0.296119 -0.478452 -0.52612 "BRCA"
"Sample_64" -0.007201 -0.368384 -0.04378 -0.18743 0.043026 0.03402 -0.234513 -0.39844 0.195221 -0.06349 -0.61707 -0.25745 -0.093128 0.114418 -0.37321 "BRCA"
"Sample_65" -0.153834 0.192471 0.06343 -0.0819 0.086527 0.05545 0.175372 0.1939 0.099484 0.13236 0.60777 -0.03339 0.075422 0.532457 -0.2222 "BRCA"
"Sample_66" -0.085509 0.030291 0.16348 -0.07346 0.039551 -0.06387 0.189004 -0.01205 -0.144238 0.04511 0.35171 -0.21501 -0.07887 -0.310593 -0.42434 "BRCA"
"Sample_67" 0.329872 0.27219 -0.0824 -0.19757 0.072888 0.04425 0.179478 0.1843 0.092135 0.0397 -0.13063 -0.31051 0.569551 0.093897 0.51264 "BRCA"
"Sample_68" 0.242331 -0.105116 -0.26142 -0.03407 0.04082 -0.02033 0.221434 0.29238 0.123012 0.121 0.05425 -0.04773 0.538209 0.099151 0.49859 "BRCA"
"Sample_69" -0.321607 -0.520604 -0.24624 -0.21477 -0.046748 -0.01225 -0.193792 -0.05258 -0.062541 -0.19193 -0.08951 -0.46576 -0.018781 -0.176339 -0.17879 "BRCA"
"Sample_70" -0.004944 -0.358819 -0.02364 -0.25716 0.009651 0.00392 0.3282 0.34059 0.204316 0.27478 0.13413 0.03613 0.326397 0.396583 0.070625 "BRCA"
"Sample_71" 0.060939 -0.124149 -0.06833 -0.06926 0.124803 0.12123 0.24223 0.26062 0.081821 0.14328 0.89953 -0.38446 0.328914 0.205478 -0.16857 "BRCA"
"Sample_72" 0.48955 0.319443 0.23138 -0.02886 -0.003941 0.05023 0.043369 0.39102 0.569237 0.15762 0.41042 0.19988 0.513188 0.037539 0.14111 "BRCA"
"Sample_73" 0.168566 0.099008 -0.06178 0.07562 0.174049 0.28079 0.411298 0.30748 0.263179 0.20027 0.7113 -0.09187 0.232309 0.679548 -0.07635 "BRCA"
"Sample_74" 0.151662 0.178747 -0.14252 -0.12446 0.20847 0.23562 0.363981 0.31164 0.326669 0.21675 0.73346 0.1227 0.376713 0.653754 -0.10261 "BRCA"
"Sample_75" 0.06772 -0.204216 0.43788 0.01492 -0.013809 0.14826 -0.400111 -0.37095 -0.007994 0.10481 -0.73674 -0.06253 -0.053787 -0.259004 -0.22148 "BRCA"
"Sample_76" 0.703758 -0.173853 -0.1165 -0.04715 -0.060562 0.18466 -3.7e-05 0.22845 0.099503 0.71082 0.33606 0.64138 0.810673 0.275849 1.1078 "BRCA"
"Sample_77" 1.171208 0.00458 0.0653 0.15785 0.276794 0.40418 0.369842 1.04878 1.213309 0.73646 -0.18463 0.42336 0.773946 0.788502 0.67597 "BRCA"
"Sample_78" 0.015392 0.403013 -0.40319 -0.1063 0.077864 -0.04115 0.102025 -0.1065 -0.278492 -0.14151 0.4001 -0.05823 -0.027698 -0.0583 -0.53743 "BRCA"
"Sample_79" 0.050466 -0.031419 -0.12205 -0.00666 -0.071533 0.04575 0.31054 0.02218 0.118517 -0.2428 -0.39767 -0.07549 0.007122 0.493716 -1.7058 "BRCA"
"Sample_80" 0.147508 0.267046 -0.21183 0.1129 0.084387 0.19596 0.499747 0.73706 0.258515 0.51159 0.71258 0.61662 0.320959 1.568458 0.2067 "BRCA"
"Sample_81" 0.63151 0.141512 -0.17831 0.14506 0.198213 0.51501 0.489133 0.93408 0.55835 0.68723 -0.06246 0.30362 0.367416 0.498298 0.2309 "BRCA"
"Sample_82" -0.184735 -0.022376 0.13098 0.30292 0.14452 0.10402 -0.100384 0.14937 0.131093 -0.32061 0.21487 -0.47667 -0.144291 -0.1406 -1.19 "BRCA"
"Sample_83" 0.284112 0.272065 0.84697 -0.01748 0.02039 0.09094 -0.049882 0.30797 -0.679771 0.56958 -0.12054 0.30485 -0.082145 0.087212 0.46238 "BRCA"
"Sample_84" 0.37676 0.028119 -0.03269 0.0978 0.007131 0.10424 0.402821 0.16379 -0.252636 0.37933 1.01012 0.57588 0.397522 0.016416 0.18209 "BRCA"
"Sample_85" 0.108965 0.055355 0.41437 -0.05696 -0.012447 0.04485 0.502589 0.38622 -0.084277 0.46148 1.59856 0.37262 0.108433 0.447411 0.17884 "BRCA"
"Sample_86" -0.328018 0.035194 -0.00573 -0.11151 -0.2377 -0.12415 0.512684 -0.0793 -0.136214 0.14227 0.11795 0.69739 0.426313 -0.112298 -0.26197 "BRCA"
"Sample_87" -0.425875 -0.564025 -0.16581 0 0.21289 0.05904 0.041939 -0.75091 -0.457935 -0.70589 -0.26858 -0.81776 -0.611369 -0.447049 -1.4795 "BRCA"
"Sample_88" 0.185154 0.060876 -0.19357 0.05362 -0.041105 0.09565 0.54872 0.73554 0.321095 0.64843 1.56947 0.99522 0.60589 0.80056 0.11334 "BRCA"
"Sample_89" -0.59141 -0.787162 0.04449 0.18954 -0.032877 -0.01335 -0.361889 -0.51366 -0.448832 -0.40336 -0.0604 -0.76659 -0.450102 -0.167955 -1.0365 "BRCA"
"Sample_90" 0.374392 -0.091537 -0.07709 -0.08243 0.000784 0.05154 -0.071835 0.16359 -0.16802 0.08456 0.11868 0.04386 0.344055 0.199543 -0.24535 "BRCA"
"Sample_91" -0.213952 -0.30095 0.28789 0.0115 -0.229203 -0.06857 0.088079 -0.33512 -0.501858 -0.30753 0.40939 0.05145 -0.082887 -0.544448 -1.4075 "BRCA"
"Sample_92" -0.151197 -0.211483 0.15124 -0.05822 -0.099616 -0.0797 0.470797 0.06705 0.123416 -0.05793 0.65638 1.26874 0.65119 0.059107 -0.69167 "BRCA"
"Sample_93" -1.069138 -0.636738 0.81446 0.48941 -0.026845 -0.13612 -0.615799 -1.09409 -0.889688 -0.75968 -0.53745 -1.20687 -1.084406 -1.291145 -2.0037 "BRCA"
"Sample_94" -0.37994 0.061387 0.0462 -0.26039 -0.250347 -0.19582 -0.059663 -0.05911 -0.004137 0.14304 -0.34846 0.12995 0.263731 0.21083 0.0079375 "BRCA"
"Sample_95" 0.468002 0.27109 0.26001 -0.0659 -0.016218 0.07648 0.307639 0.28957 0.380512 -0.08874 0.96665 0.30441 0.091729 0.101531 -0.36566 "BRCA"
"Sample_96" -0.284396 0.01537 0.1688 -0.02987 -0.008731 0.00852 0.286401 0.0039 -0.019491 0.54128 0.52145 0.14333 -0.043043 0.502515 -0.042994 "BRCA"
"Sample_97" -0.342821 -0.834936 0.07308 -0.128 -1.226113 -0.18087 -0.242392 -0.3941 0.063961 -0.16306 0.33892 0.1685 0.02463 -0.25618 -0.67202 "BRCA"
"Sample_98" 0.276341 -0.411255 -0.10129 0.15531 0.198945 0.21265 0.401939 0.12797 0.30376 0.32777 0.19289 0.24862 0.667842 0.394776 -0.10194 "BRCA"
"Sample_99" -0.385047 0.506157 -0.116 -0.00938 0.083608 0.20417 1.291006 0.45239 0.687959 -0.02172 0.41527 0.66206 1.090192 0.612022 0.09026 "BRCA"
"Sample_100" -0.078829 0.058888 0.50876 0.42816 -0.100219 0.09404 -0.120543 -0.56471 -0.136176 -0.44079 0.15418 -0.78876 -0.391364 -0.908163 -1.6715 "BRCA"
"Sample_101" 0.157251 -0.066106 -0.66436 -0.2909 -0.268647 -0.23822 0.047201 -0.12912 -0.239656 -0.17211 -0.06911 -0.06359 0.088259 0.161582 -0.17097 "BRCA"
"Sample_102" 0.354639 -0.185203 -0.08008 0.08121 0.003091 0.10062 0.233537 0.29024 0.016895 0.32376 0.68407 1.57013 0.296627 0.273755 0.27615 "BRCA"
"Sample_103" 0.56288 0.21768 -0.02908 0.15104 0.012264 0.09224 0.648635 0.14225 0.399789 -0.01912 -0.07587 0.52378 0.663913 0.18711 -0.10087 "BRCA"
"Sample_104" 0.271798 0.300469 -0.55989 0.20178 -0.045191 -0.0092 0.249894 0.28958 0.120826 0.24986 0.16779 0.37423 0.066452 0.336562 -0.16099 "BRCA"
"Sample_105" -0.473929 0.063771 -0.38977 -0.04631 -0.119602 -0.02813 0.897783 0.1308 0.199708 0.08664 -0.02771 -0.32088 -0.322747 0.369189 -0.0081645 "BRCA"
"Sample_106" -0.172189 0.021682 -0.14128 0.02769 0.044721 -0.02543 -0.105656 -0.67654 -0.306056 -0.32791 -0.33629 -0.58128 -0.089235 0.184108 -1.6637 "BRCA"
"Sample_107" -0.194588 -0.015659 -0.08993 0.08718 -0.020786 0.07238 0.405937 -0.1292 -0.014883 0.15813 0.14368 0.48061 0.313013 0.392722 -0.6083 "BRCA"
"Sample_108" 0.373133 -0.112982 -0.23713 0.29489 0.095691 0.12206 -0.413871 -0.61464 0.321536 -0.63247 0.04047 -0.1086 -0.007772 -0.165525 -1.3562 "BRCA"
"Sample_109" -0.853404 -0.388217 0.23209 0.34735 -0.174194 -0.16093 -0.473977 -0.8847 -0.755697 -0.53406 -0.02586 -0.24904 -0.823144 -0.858323 -2.0169 "BRCA"
"Sample_110" 0.106819 0.211358 -0.41966 -0.00837 0.095413 0.08121 -0.050058 0.07863 -0.198615 0.26419 -0.13615 0.00656 0.033053 0.538451 -0.376195 "BRCA"
"Sample_111" -0.18566 -0.023747 -0.39136 -0.13764 0.260208 0.16934 -0.179875 -0.18087 0.786427 -0.01152 -0.7525 0.07052 0.618542 0.657616 0.213465 "BRCA"
"Sample_112" 0.297833 0.005342 -0.1897 0.06098 0.123265 0.09471 0.422314 0.32753 0.1838 0.37748 1.2835 -0.01199 0.043338 -0.149962 -0.126957 "BRCA"
"Sample_113" 0.134334 -0.071665 -0.27243 -0.03179 -0.133083 -0.07349 0.227902 0.22849 0.109198 0.22022 0.47741 0.50051 0.25793 0.783199 0.063678 "BRCA"
"Sample_114" 0.110899 0.051447 -0.08085 0.05198 0.010513 0.19714 0.152997 0.30429 0.067969 0.19836 0.00011 -0.04498 0.18941 0.694381 0.0370486 "BRCA"
"Sample_115" 0.627476 0.420579 -0.23458 0.01817 -0.149928 0.09081 0.244014 0.34756 -0.163018 0.74723 0.23638 0.21639 0.385833 0.3976 0.463225 "BRCA"
"Sample_116" 0.122575 0.182077 -0.08667 -0.08236 -0.132981 0.04388 0.25797 0.18596 -0.073333 0.21608 0.63709 0.37217 0.155419 -0.012864 -0.14641 "BRCA"
"Sample_117" 0.323923 -0.238449 0.22364 0.32135 -0.020304 -0.03759 -0.286024 0.07711 0.317341 0.35139 0.35505 0.42286 0.73969 0.193894 -0.0637405 "BRCA"
"Sample_118" 0.519331 0.150671 -0.12536 0.54699 -0.139134 0.01042 0.056316 -0.06804 0.092426 0.37881 1.02098 0.447 0.520189 0.153267 -0.34962 "BRCA"
"Sample_119" 0.353843 0.10033 -0.20906 -0.0896 -0.228953 -0.2121 0.198579 0.07339 0.714856 0.34622 1.06709 1.10975 0.557323 0.627486 0.138992 "BRCA"
"Sample_120" -0.254115 -0.165775 0.56866 -0.45111 -0.239173 -0.2715 -0.355734 -0.19007 -0.268178 0.17661 -0.41095 0.39573 0.124236 -0.272701 -0.222795 "BRCA"
"Sample_121" 0.448906 0.408302 -0.17834 0.69555 0.006205 0.16226 0.437534 0.21252 0.209909 0.41537 -0.00243 -0.13966 0.379847 0.317068 -0.19801 "BRCA"
"Sample_122" 0.268402 -0.291203 0.18145 -0.04218 -0.13628 -0.05279 0.576779 -0.012 0.025548 0.18374 -0.45193 1.16483 -0.255004 0.009187 -0.54291 "BRCA"
"Sample_123" -1.111234 -0.613237 0.98594 0.93741 0.400404 0.1699 -0.507151 -1.35444 -0.704248 -0.39147 -0.87494 -1.19411 -0.992436 -1.302452 -2.43305 "BRCA"
"Sample_124" -0.162734 -0.190829 -0.00335 -0.11314 -0.171859 -0.12012 0.030893 -0.43929 -0.29974 -0.43707 -0.0753 0.19383 0.070787 -0.245515 -1.0941 "BRCA"
"Sample_125" -0.048659 0.272441 0.18137 0.25341 0.049789 0.00964 -0.108655 0.1189 0.230284 0.16234 -0.09671 0.42775 0.499283 -0.115083 0.14248 "BRCA"
"Sample_126" 0.413703 0.044594 0.2928 0.13335 -0.097328 0.01059 0.033226 -0.02078 0.27446 2.22299 -0.26485 0.28771 0.917378 -0.156786 -0.389155 "BRCA"
"Sample_127" 0.250158 0.590026 -0.12585 0.631 0.065652 0.16374 0.56687 0.36779 0.224982 0.73803 1.06838 0.65455 0.31959 0.222206 0.14658 "BRCA"
"Sample_128" -0.501491 -0.273319 -0.07776 0.57974 -0.181653 -0.11313 -0.008426 -0.025 -0.296924 -0.05641 -0.02647 -0.10638 -0.188426 -0.391066 -0.22491 "BRCA"
"Sample_129" -0.087581 0.302602 0.03438 -0.09572 -0.168199 -0.0783 0.108101 -0.12465 -0.033738 -0.16554 0.18166 0 0.091746 -0.509796 -0.66151 "BRCA"
"Sample_130" 0.473424 0.170842 -0.05902 0.01598 0.108347 0.19689 -0.010994 0.20671 0.03224 0.50116 0.3454 1.05933 0.947767 0.345834 0.34241 "BRCA"
"Sample_131" -0.421619 -0.088632 0.50935 0.06918 -0.032284 -0.12882 -0.270235 -0.81435 -0.308919 -0.55807 -1.01888 -0.63375 -0.688965 -0.86887 -1.3571 "BRCA"
"Sample_132" -0.354729 0.09064 -0.15405 -0.15669 0.03957 -0.17248 -0.105215 -0.24023 -0.372643 -0.22455 0.01175 -0.5728 -0.389872 -0.464765 -0.81728 "BRCA"
"Sample_133" -0.587718 -0.2539 0.08222 0.26833 0.058684 -0.09814 -0.22336 -0.66108 -0.373629 -0.65599 -0.70832 -0.49786 -0.578128 -0.809223 -1.5145 "BRCA"
"Sample_134" -0.136986 -0.432748 0.1036 0.11575 -0.080622 0.20336 0.081993 0.03741 -0.121366 0.14923 0.64748 0.13227 0.17577 0.635209 -0.38171 "BRCA"
"Sample_135" -0.119546 -0.264855 -0.23756 0.00182 -0.068623 0.08932 0.123175 0.13899 0.377161 -0.32019 -0.56714 -0.16996 0.33105 0.240989 -0.70876 "BRCA"
"Sample_136" -0.879836 -0.394954 0.37317 -0.16578 -0.18497 -0.13297 -0.49887 -0.7453 -1.511865 -0.63552 -0.47453 -0.83017 -0.854522 -0.728375 -1.6637 "BRCA"
"Sample_137" -0.235287 -0.096507 -0.12017 0.08371 0.139933 0.15879 0.059011 0.42887 0.657494 0.20512 1.16239 0.32063 0.332436 0.48471 -0.21288 "BRCA"
"Sample_138" 0.078157 0.217584 0.0577 -0.12611 -0.043505 0.10001 -0.055096 -0.24886 0.096471 -0.01475 0.21784 -0.04225 0.286792 0.314352 0.050847 "BRCA"
"Sample_139" -0.585377 -0.295739 0.77551 -0.14213 -0.359226 -0.17086 0.296152 -0.63344 -0.457241 -0.41883 -0.40568 0.34633 -0.410602 -0.92579 -1.4524 "BRCA"
"Sample_140" -0.119574 -0.153122 0.15906 -0.01038 -0.231779 -0.06037 -0.003683 -0.28961 -0.351245 0.10506 0.39164 -0.24702 -0.307332 -0.348207 -0.41832 "BRCA"
"Sample_141" 0.069543 0.398458 0.12421 -0.07235 0.071322 0.02681 0.217171 -0.30221 0.116368 -0.51185 -0.04517 -0.23156 0.01423 -0.39391 -1.275 "BRCA"
"Sample_142" -0.218662 0.235429 0.03215 0.14103 -0.015838 0.00201 0.445658 0.46787 0.269373 0.75483 1.13938 0.49274 0.029927 0.20609 0.0609 "BRCA"
"Sample_143" 0.041732 0.262829 0.05673 -0.13677 0.030628 0.11431 0.563587 0.37536 0.070728 0.2577 0.0041 -0.17678 -0.038275 -0.135485 -0.090798 "BRCA"
